STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
USW00025333,"SITKA AIRPORT, AK US",7/1/2018,0.25,,62,50
USW00025333,"SITKA AIRPORT, AK US",7/2/2018,0.01,,58,53
USW00025333,"SITKA AIRPORT, AK US",7/3/2018,0,,70,54
USW00025333,"SITKA AIRPORT, AK US",7/4/2018,0,,70,55
USW00025333,"SITKA AIRPORT, AK US",7/5/2018,0,,67,55
USW00025333,"SITKA AIRPORT, AK US",7/6/2018,0,,59,55
USW00025333,"SITKA AIRPORT, AK US",7/7/2018,0,,58,55
USW00025333,"SITKA AIRPORT, AK US",7/8/2018,0,,62,54
USW00025333,"SITKA AIRPORT, AK US",7/9/2018,0,,66,55
USW00025333,"SITKA AIRPORT, AK US",7/10/2018,0.44,,59,53
USW00025333,"SITKA AIRPORT, AK US",7/11/2018,0.29,,56,50
USW00025333,"SITKA AIRPORT, AK US",7/12/2018,0.02,,63,49
USW00025333,"SITKA AIRPORT, AK US",7/13/2018,0,,65,48
USW00025333,"SITKA AIRPORT, AK US",7/14/2018,0.32,,58,52
USW00025333,"SITKA AIRPORT, AK US",7/15/2018,0.75,,56,52
USW00025333,"SITKA AIRPORT, AK US",7/16/2018,0.61,,59,52
USW00025333,"SITKA AIRPORT, AK US",7/17/2018,0,,64,52
USW00025333,"SITKA AIRPORT, AK US",7/18/2018,0.16,,60,53
USW00025333,"SITKA AIRPORT, AK US",7/19/2018,0.14,,60,53
USW00025333,"SITKA AIRPORT, AK US",7/20/2018,0,,61,56
USW00025333,"SITKA AIRPORT, AK US",7/21/2018,0,,65,55
USW00025333,"SITKA AIRPORT, AK US",7/22/2018,0,,65,54
USW00025333,"SITKA AIRPORT, AK US",7/23/2018,0,,63,54
USW00025333,"SITKA AIRPORT, AK US",7/24/2018,0,,59,52
USW00025333,"SITKA AIRPORT, AK US",7/25/2018,0,,64,52
USW00025333,"SITKA AIRPORT, AK US",7/26/2018,0,,65,58
USW00025333,"SITKA AIRPORT, AK US",7/27/2018,0,,68,58
USW00025333,"SITKA AIRPORT, AK US",7/28/2018,0,,66,56
USW00025333,"SITKA AIRPORT, AK US",7/29/2018,0,,64,56
USW00025333,"SITKA AIRPORT, AK US",7/30/2018,0,,67,58
USW00025333,"SITKA AIRPORT, AK US",7/31/2018,0,,65,56
