STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
USW00025333,"SITKA AIRPORT, AK US",1/1/2018,0.45,,48,38
USW00025333,"SITKA AIRPORT, AK US",1/2/2018,0.56,,48,43
USW00025333,"SITKA AIRPORT, AK US",1/3/2018,0.40,,46,41
USW00025333,"SITKA AIRPORT, AK US",1/4/2018,0.99,,42,40
USW00025333,"SITKA AIRPORT, AK US",1/5/2018,0.25,,46,38
USW00025333,"SITKA AIRPORT, AK US",1/6/2018,0.46,,44,37
USW00025333,"SITKA AIRPORT, AK US",1/7/2018,0.01,,39,30
USW00025333,"SITKA AIRPORT, AK US",1/8/2018,0.00,,36,28
USW00025333,"SITKA AIRPORT, AK US",1/9/2018,0.13,,34,25
USW00025333,"SITKA AIRPORT, AK US",1/10/2018,0.00,,28,24
USW00025333,"SITKA AIRPORT, AK US",1/11/2018,0.00,,34,23
USW00025333,"SITKA AIRPORT, AK US",1/12/2018,0.18,,41,33
USW00025333,"SITKA AIRPORT, AK US",1/13/2018,0.05,,53,41
USW00025333,"SITKA AIRPORT, AK US",1/14/2018,0.07,,63,52
USW00025333,"SITKA AIRPORT, AK US",1/15/2018,0.01,,60,52
USW00025333,"SITKA AIRPORT, AK US",1/16/2018,0.40,,54,41
USW00025333,"SITKA AIRPORT, AK US",1/17/2018,0.01,,47,36
USW00025333,"SITKA AIRPORT, AK US",1/18/2018,0.00,,46,35
USW00025333,"SITKA AIRPORT, AK US",1/19/2018,0.00,,42,37
USW00025333,"SITKA AIRPORT, AK US",1/20/2018,0.00,,45,39
USW00025333,"SITKA AIRPORT, AK US",1/21/2018,0.00,,43,36
USW00025333,"SITKA AIRPORT, AK US",1/22/2018,0.42,,41,33
USW00025333,"SITKA AIRPORT, AK US",1/23/2018,0.00,,41,33
USW00025333,"SITKA AIRPORT, AK US",1/24/2018,0.04,,40,34
USW00025333,"SITKA AIRPORT, AK US",1/25/2018,0.00,,40,31
USW00025333,"SITKA AIRPORT, AK US",1/26/2018,0.16,,41,31
USW00025333,"SITKA AIRPORT, AK US",1/27/2018,0.00,,39,29
USW00025333,"SITKA AIRPORT, AK US",1/28/2018,0.00,,40,34
USW00025333,"SITKA AIRPORT, AK US",1/29/2018,0.00,,40,36
USW00025333,"SITKA AIRPORT, AK US",1/30/2018,0.00,,39,31
USW00025333,"SITKA AIRPORT, AK US",1/31/2018,0.00,,36,29
USW00025333,"SITKA AIRPORT, AK US",2/1/2018,0.00,,35,31
USW00025333,"SITKA AIRPORT, AK US",2/2/2018,0.00,,35,26
USW00025333,"SITKA AIRPORT, AK US",2/3/2018,0.00,,34,24
USW00025333,"SITKA AIRPORT, AK US",2/4/2018,0.00,,42,28
USW00025333,"SITKA AIRPORT, AK US",2/5/2018,0.00,,41,28
